mention-id,unique-id,name_first,name_last
US4965751-0,183,Larry J.,Thayer
US6477368-2,184,Anil N.,Patel
US7498164-0,185,Mark F.,Oldham
US7934002-0,74,Joseph,Salesky
US7743178-0,186,Bruce Gregory,Warren
US7402284-0,15,Phillip,McGee
US6898775-1,187,Paul J.,Mantey
US5787165-1,188,Eric Anthony,Thomas
US7390056-4,189,Paul,Luskin
US6477368-1,190,Douglas A.,Lenz
US6677174-1,115,Paul E.,Burrows
US6477368-0,191,Jose E.,Korneluk
US7147642-1,192,Mark,Boomer
US7758332-0,193,Leslie A.,Voss
US7309758-0,194,John R.,Klaehn
US7409636-3,195,Arpan A.,Desai
US6939969-2,196,Seth B.,Harkins
US5820178-1,197,Leslie A.,Meck
US7730609-0,198,Leonard J.,Gramse
US6943909-2,199,Neal J.,Manowitz
US7770797-1,200,Eric G.,Petersen
US5985122-0,95,Jeffrey A.,Conner
US5836424-0,201,Thomas H.,Allen
US5698674-1,202,Kenneth A.,Browne
US5557743-0,203,Raul,Pombo
US6641440-3,182,Jared Joseph,"Smalley, Jr."
US6146220-1,204,Martin E. Olson,Gunderson
US7571482-7,205,Yun,Lin
US7828825-0,175,Aurelien,Bruneau
US5415626-1,206,Drew D.,Weaver
US7929737-0,141,Saad Ahmed,Sirohey
US7027945-0,207,Christopher P. J.,Kelly
US7408113-2,208,Rodney G.,Rouleau
US7170992-0,209,Benjamin A.,Knott
US7825995-0,58,Mauro,Dresti
US6406917-0,210,Mark R.,Kelley
US6162535-1,211,David Lewis,Myers
US8116909-2,212,John D.,Gaida
US7424464-1,213,Ashutosh,Garg
US8349449-0,163,Marc,Privitera
US6909935-0,214,Miguel Angel,Saldana
US6949598-0,215,Richard N.,Terry
US4781852-0,56,Jerry J.,Kaczur
US7491075-0,41,David Charles,Hughes
US5789705-2,216,Paul F.,"Nugent, Jr."
US8285915-4,217,Kenneth C.,Vossen
US5839364-1,218,Thomas W.,Orzechowski
US7116974-2,219,Neil A,Ostroff
US5903403-0,220,James B.,Williamson
US5499888-0,221,E. Gerry,Hawkes
US7376903-0,11,Mark M.,Morita
US5469436-1,222,Robert J.,Manulik
US6865515-2,65,Matthew,Dock
US7879386-1,223,Plaridel K.,Villareal
US7598844-0,224,Kevin F.,Corcoran
US7086954-2,225,Mitchell E.,Lutz
US5580720-3,226,Stephen,Trulli
US5959577-1,227,Amin A.,Mufti
US7161726-0,228,Louis J.,Bintz
US4358627-3,229,David W.,Sissenstein
US6024411-1,230,Troy M.,Cornell
US6029369-0,231,Jose R.,Gonzalez-Martin
US8322610-0,232,Scott B.,Guthery
US6047829-1,233,Brad Allen,Jones
US6847711-0,209,Benjamin A.,Knott
US6017233-0,234,Rupert J.,Fry
US6727106-3,235,Yurong,Shi
US7142019-0,236,Hugh T.,Mair
US5529117-0,237,Mark G.,Voss
US6643147-0,134,Larry,Kirn
US6790966-2,238,Margaret M.,Buck
US7287076-2,239,James Stuart,Johnson
US6618045-0,205,Yun,Lin
US7644303-0,240,Richard J.,Byrne
US8283135-1,241,Leo Timothy,Laughlin
US5129371-0,242,Martin E.,"Rosalik, Jr."
US7179668-0,243,William J.,Baney
US7357317-1,244,Duane,Anderson
US7708638-4,89,Rodney L.,Willyard
US6403392-0,115,Paul E.,Burrows
US5462872-3,226,Stephen,Trulli
US7953160-5,245,John P.,Comito
US7352758-0,246,Srinivas V.,Makam
US7463548-1,247,Samuel,Weinstein
US5919927-0,248,Luc,Moens
US7071164-1,249,Ilona F.,Weart
US7117037-2,250,Howard D.,"Simms, Jr."
US7591099-2,251,Stephen John,Barcay
US6430593-0,116,Brett Louis,Lindsley
US5361733-2,252,Ivan R.,Samalot
US7225928-0,253,Frederick A.,Enko
US7315007-0,254,Dale E.,Redford
US4921308-0,255,Darrell A.,Yelton
US6122337-1,256,Peter,Chantiles
US6739648-4,257,John E.,Long
US7797260-5,258,Chyr-Chong (Joseph),Ting
US6130642-1,0,Felipe A.,Garcia
US8200671-0,111,Yannis,Labrou
US4736335-0,259,Mordecai,Barkan
US4646321-0,260,Allan M.,Berlinsky
US6751343-2,261,Kenneth W.,"Tobin, Jr."
US7586600-3,185,Mark F.,Oldham
US5831446-0,262,Jason S.,So
US7213497-0,0,Felipe,Garcia
US8180125-1,141,Saad Ahmed,Sirohey
US6582326-3,225,Mitchell E.,Lutz
US7652589-0,263,Jeffrey S.,Autor
US6058033-0,264,Stephen T.,Williams
US6973307-0,150,Timothy David,Forrester
US6988416-0,167,Craig,Norton
US6769286-1,265,Jack C.,Roberts
US7140420-2,42,Ronald Dean,Watkins
US7522111-0,266,Rodney Paul,Opitz
US7979683-1,2,John Erik,Lindholm
US8432659-0,267,Hieyoung W.,Oh
US6792010-0,148,Serguei,Koulikov
US6889233-0,205,Yun,Lin
US6869739-1,268,Ronald L.,Gordon
US7709885-0,269,Jon,Daley
US6256389-3,270,Ta-Ming,Chen
US6448305-1,271,William D.,Hanrahan
US7638217-1,272,Jeremy P.,Meyers
US5475820-3,273,Allen J.,Piepho
US7565418-3,274,Aaron,Averbuch
US7311740-1,275,Robert D.,Sleeper
US5408614-0,276,Timothy J.,Thornton
US6167765-0,277,William F.,Weitzel
US6713650-2,278,Christopher,Morrison
US6601759-0,279,John P.,Fife
US5403552-0,280,Dennis,Pardikes
US8083232-1,281,Lloyd A.,Williams
US7299975-3,282,Alan Jackson,Guess
US6069613-0,283,Timothy A.,Lewis
US6512944-2,284,Joseph E.,Bange
US7347283-1,65,Matthew L.,Dock
US8007465-0,285,Janel A.,Birk
US8351075-7,286,Mary Ann,Sprague
US7797643-5,287,Jens,Alfke
US7507021-1,288,Jeffrey E.,Price
US8210430-1,289,J. Scott,Carr
US7106508-1,290,Xin,Luo
US6152991-0,291,Mark William,Ackley
US8235037-6,292,Martin J.,Wensley
US6360243-0,116,Brett Louis,Lindsley
US7068361-1,293,Peter,Stark
US7985244-2,294,Missoum,Moumene
US8244625-2,295,Xuan (Sunny),McRae
US6280013-2,296,James L.,McCullough
US7281543-1,297,Eric N.,Freeman
USD450126-2,298,Richard D,La Torre
US6008971-1,299,Edgar S.,Thaxton
US7097746-0,300,George,Tziviskos
US8162991-0,301,Kevin R.,Strauss
US7433193-2,302,Samir,Vasavda
US7809692-0,303,Arvind,Pruthi
US8120500-1,304,Christopher J.,Owen
US8121116-0,305,Michael,Healy
US6078306-0,283,Timothy A.,Lewis
US7657375-0,9,Tsili,Wang
US7049456-2,306,Stephen C.,Slahck
US6934788-1,276,Timothy J.,Thornton
US5448695-1,307,Robert J.,Torres
US8016790-1,81,Roger,Greenwald
US7560464-2,308,Alan Bradley,Fulp
US6954855-0,232,Scott B.,Guthery
US5699107-0,309,Frank A.,Lawler
US5819091-0,310,James Wendell,Arendt
US6439780-0,311,Ronald L.,Mudd
US6644118-0,312,Gregory,Kaduchak
US7693314-0,313,Joseph Andrew,Tykowski
US7702329-0,25,Dan,Durig
US5242553-0,56,Jerry J.,Kaczur
US7702329-1,314,Robert C.,Lamb
US8485543-2,315,Richard Lee,Conaway
US6803855-0,316,Vitaliy,Selektor
US6544346-3,95,Jeffrey A.,Conner
US6027627-4,317,Michael V.,Sharer
US6312337-3,199,Neal Jacob,Manowitz
US8355510-1,318,Adam,Strauss
US5062122-0,319,Hiep V.,Pham
US6087656-0,320,Kevin,Kimmich
US5424595-0,321,Mark A.,Preston
US7311620-1,182,Jared J.,"Smalley, Jr."
US7629907-0,134,Larry,Kirn
US7734735-0,273,Allen J.,Piepho
US5598410-0,46,Geoffrey C.,Stone
US7359523-0,322,Tyler,Sims
US6859104-1,150,Tim,Forrester
US5043217-0,323,Stanley T.,Peters
US6279278-0,324,John F.,Morris
US5455620-0,325,Douglas C.,Stevens
US5733319-1,326,James V.,Kauphusman
US7577648-0,64,Vijaykumar,Cherukumudi
US5919161-0,327,E. Richard,"Hill, III"
US8190986-1,328,James E.,Allard
US7129326-2,329,Deborah S.,Winetzky
US6516472-0,6,Scott L.,Gessner
US8032699-1,330,Edwin Scott,Olds
US6798511-0,66,Qiwen,Zhan
USD473850-0,208,Rodney,Rouleau
US7720085-0,331,Jon Eric,Okholm
US5480449-1,30,Salvatore,Caldarise
US6478327-1,332,Robert T.,Pike
US8026620-0,333,Miles,Hobdy
US7780590-0,285,Janel A.,Birk
US5319384-0,334,Henri J.,Isenberg
US5331894-1,335,Steven L.,Renfro
US7837566-5,336,Michael,Mathaisel
US5570161-2,337,Daniel E.,Kuhman
US7791214-0,338,Edward Anthony,Hill
US4786139-0,155,Steven R.,Sedlmayr
US7738099-0,339,Michael,Morrell
US8255968-0,340,Alex,Louie
US4548626-0,291,Mark W.,Ackley
US6780451-2,341,Shi-Chiang,Pao
US8095488-0,342,Venkeepuram,Satish
US5595509-0,234,Rupert J.,Fry
US4111497-2,343,Guy T.,Rini
US5560951-0,341,Shi-Chiang,Pao
US7554328-0,9,Tsili,Wang
US7947025-2,344,Bret,Weig
US7723991-1,9,Tsili,Wang
US6315131-0,345,Richard,Terrien
US7585223-4,346,Vince,Manfredi
US5005643-1,347,Robert D.,Kuhlman
US7202729-2,236,Hugh,Mair
US7506000-2,348,Patrick M.,Dengler
US6381153-0,349,Jay D.,Brussels
US6569201-0,294,Missoum,Moumene
US6926621-0,225,Mitchell E.,Lutz
US6791328-1,42,Ronald Dean,Watkins
US6695322-0,350,Edward M.,Goldsmith
US7317823-1,351,Sumit,Mathur
US6250749-0,72,Eric A.,Merz
US5698172-1,352,Myron,Reicher
US7731282-0,353,Richard M.,Leeds
US7840965-2,16,Gregory Michael,Nordstrom
US7117741-2,354,Jerome,Eichenberger
US6408383-0,161,Marc,Tremblay
US6163568-0,355,James,Lansford
US6896041-0,356,Franklin D.,"Lomax, Jr."
US8021941-6,357,Wayne H.,Woods
US8152024-1,358,Wieslaw,Tomzyk
US5550476-3,359,Julian,Riccomini
US7853830-0,360,Casimir Johan,Crawley
US6566824-1,361,David G.,Pelka
US8114583-0,362,Richard H.,Ebright
US6111902-2,115,Paul,Burrows
US7574076-0,363,Daniel,Mueth
US8034068-1,364,William E.,Conway
US5957969-0,365,Glen Grant,Warner
US7810037-3,199,Neal Jacob,Manowitz
US6788574-2,366,Jaroslav,Raszka
US7649426-0,367,James L.,Stolpman
US7658381-1,368,Sammy C.,Hutson
US7593938-1,369,Nathan N.,White
US8466242-2,5,Ashish,Dhawan
US6490957-1,370,Jeffrey Taylor,Stroup
US7710265-2,371,Michael D.,Jordan
US6057610-0,372,David S.,Nierescher
US6144205-1,42,Ronald Dean,Watkins
US5003379-0,373,Leslie G.,"Moore, Jr."
US7631008-4,374,Pero,Subasic
US7752395-1,24,Naveen,Bali
US7752395-0,375,Robert L.,Fair
US5200676-1,376,Michael B.,Monahan
US5171232-2,377,Eric,Glemser
US7417572-0,264,Stephen,Williams
US7860460-0,360,Casimir Johan,Crawley
US5693431-0,372,David,Nierescher
US8440520-0,378,Robert D,Clark
US6009119-2,186,Bruce G.,Warren
US7018032-0,72,Eric A.,Merz
US6295911-1,0,Felipe,Garcia
US5350119-0,379,John S.,Bergstrom
US6920566-0,283,Timothy A.,Lewis
US6241922-0,380,Joseph Andrew,Bishop
US8178534-0,60,Jerome C.,Bressi
US8304737-0,261,Kenneth W.,"Tobin, Jr."
US7310364-0,381,Stuart T.,Linsky
US5583506-4,382,David L.,Mowery
US6549946-1,222,Robert John,Manulik
US7022286-1,36,Robert Justice,Shartle
US5523106-4,383,Robert M.,"Sauer, Jr."
US6434622-0,384,Antonio M,Monteiro
US5924780-3,385,Simon,Gatrall
US6101917-0,386,Kevin Mathew,Klatte
US7454436-3,195,Arpan A.,Desai
US5238505-0,387,Herbert J.,Kaiser
US6050845-0,182,Jared Joseph,"Smalley, Jr."
US7717283-1,388,Mauricio D.,Cavalcante
US7466859-2,389,Robert M.,Harman
US7516264-0,390,Mark Andrew,Brittain
US8244015-0,141,Saad Ahmed,Sirohey
US6183076-3,391,Kenneth E.,Trueba
US7650403-1,392,Xiaowen,Shan
US7274974-1,393,Gary M.,Kuzkin
US7962117-0,394,Joseph S.,Elder
US4943762-3,395,Robert J.,Stone
US6415321-1,396,Gerald S,Lathem
US6673154-1,223,Plaridel K.,Villareal
US7674684-0,397,Jing,Tang
US6668636-4,398,Keith,Walker
US5721160-2,115,Paul Edward,Burrows
US7638431-0,135,Amir A.,Yasseri
US6419162-1,399,Ying,Zhang
US6506234-0,291,Mark William,Ackley
US6978585-0,32,Paul Grady,Russell
US6116477-1,400,Thomas C.,Stoneberg
US7009710-0,401,Mark Timothy,Sullivan
US5132018-0,402,William R.,Jones
US6898464-2,403,Sean V.,Sexton
US5958006-0,14,Gene,Eggleston
US5742346-0,404,John C.,Sievers
US6137802-0,405,Wesley Stuart,Jones
US5638106-0,372,David S.,Nierescher
US7192430-1,406,Russel M.,Sampson
US6377894-1,407,Leonidas,Carayannopoulos
US7693985-0,408,Michael,Keohane
US8165358-0,141,Saad Ahmed,Sirohey
US7667769-3,409,Robert E.,Lee
US7515498-0,410,Robert Christopher,Dixon
US8384478-0,411,Michael,Nussbaum
US7981142-1,412,Thomas V.,Doherty
US8224460-4,48,Kristen N.,Jaax
US4861805-4,29,Thomas M.,Knobel
US7953498-2,48,Kirsten N.,Jaax
US6207100-0,413,David,Weiss
US7915026-7,414,Artem Valentinovich,Khlebnikov
US7624031-1,415,Alan,Aleia
US7613193-0,416,Yogesh P.,Swami
US7132439-1,308,Alan B.,Fulp
US7623049-1,417,Huy Duc,Bui
US7567183-0,418,Robert,Schwenke
US7623632-1,209,Benjamin A.,Knott
US7654135-0,419,Frank Anthony,DeMarco
US7723404-0,420,Shan,Cheng
US5555956-0,237,Mark G.,Voss
US5582368-0,421,John B.,"Stetson, Jr."
US7930103-0,422,Gary Neal,Young
US6141434-0,423,Andrew Dean,Christian
US6802059-0,424,Yevgeniya,Lyapustina
US6565613-0,329,Deborah,Winetzky
US6051420-1,425,Francisco F.,Roberto
US7209925-1,426,Qi,Jin
US7328315-2,427,Elizabeth A.,McGlone
US7984380-0,428,Gordon Scott,Mindrum
US4982571-1,49,James R.,Logan
US6730002-1,429,Gerald,Nelson
US7100129-0,100,Jeffrey Scott,Salowe
US4751737-1,116,Brett L.,Lindsley
US5261244-4,430,Steven A.,Michaud
US6920579-1,24,Naveen,Bali
US6920579-0,431,Samuel M.,Cramer
US7198897-1,432,Kenneth,Pierce
US8246808-0,433,Mahmoud H.,Abd Elhamid
US6244311-2,434,Michael C.,Hollen
US7506253-0,435,John,Armstrong
US6819984-2,436,Brian S.,Bourgeois
US7386305-0,437,Raul Hernan,Etkin
US7746799-0,438,Mathias,Kokot
US6441790-0,150,Timothy David,Forrester
US7087052-0,406,Russell M.,Sampson
US6951892-0,280,Dennis,Pardikes
US7972786-1,432,Kenneth E.,Pierce
US7240396-10,439,Benjamin L.,Wirz
US7495224-0,440,Steven R.,Widener
US5571086-1,441,James R.,Kermode
US7290606-1,442,Steve,Crow
US5286485-1,443,Luis,Foncerrada
US4821211-0,307,Robert J.,Torres
US7525554-0,11,Mark M.,Morita
US6716421-2,241,Leo Timothy,Laughlin
US6896628-1,444,George R.,Wallace
USD481381-0,445,Kamaldip Singh,Toor
US6951902-0,105,William F.,McDonald
US7057392-0,9,Tsili,Wang
US7243648-1,391,Kenneth E.,Trueba
US7344546-3,446,Scott,Youmans
US7322928-1,447,Mike,Rapach
US6334889-2,291,Mark William,Ackley
US7308030-4,448,Ching-wei,Chen
US8151016-0,449,Richard A.,McCoy
US7279235-4,115,Paul E.,Burrows
US6985789-1,450,Thomas M.,Clausen
US8263280-2,237,Mark G.,Voss
US8160831-0,99,Walter F.,Rausch
US7080526-0,451,Steven James,Papapanu
US7254114-4,452,Wendy R,Cartee
US7625339-3,453,Michael,Zajack
US6995380-0,454,Jørgen,Rasmussen
US6438476-1,129,James F.,Patterson
US6176170-1,204,Martin E. Olson,Gunderson
US7658083-1,455,Patrick,Maguire
USD389575-2,293,Peter R. H.,Stark
US6512513-1,456,Scott,Rawlings
US5575978-2,457,Richard R.,Martin
US7482119-0,458,Hsing-Yeh,Parker
US8315360-1,209,Benjamin A.,Knott
US6053412-3,216,Paul F.,"Nugent, Jr."
US7810144-0,459,Maurice W.,Haff
US7139528-0,460,Michael J.,Gambuzza
US7745514-0,420,Shan,Cheng
US7769004-1,461,Dave D.,McCrory
US7925825-0,390,Mark A.,Brittain
US6310585-0,462,Ronald A.,Marino
US6327312-2,186,Bruce G.,Warren
US7125426-0,294,Missoum,Moumene
US6623172-1,311,Ronald L.,Mudd
US7813405-0,156,Kenneth Charles,Widen
US5810333-0,463,William R.,Hickerson
US7736882-7,414,Artem Valentinovich,Khlebnikov
US6691173-3,319,Hiep,Pham
US8260989-0,437,Raul Hernan,Etkin
US6830828-5,115,Paul E.,Burrows
US7512545-0,209,Benjamin A.,Knott
US8245370-1,464,Anthony Beckman,Hays
US7184938-0,355,James L.,Lansford
US7275011-1,465,Adam J.,Courchesne
US4335799-0,466,Neal G.,Shields
US7266631-2,16,Gregory Michael,Nordstrom
US7548683-1,237,Mark G.,Voss
US5562729-1,467,James R.,Cupp
US5929855-9,468,Keith E.,Sarbaugh
US4987289-2,469,James E.,Shaw
US7035654-0,150,Tim,Forrester
US6353924-2,470,Richard,Schooler
US6417851-0,2,John Erik,Lindholm
US4874936-2,471,Govind,Shah
US6791759-2,472,Janusz,Liberkowski
US6408957-3,473,Vincent W.,Shotton
US7921053-5,474,Anthony F.,Bernard
US7672715-0,475,Rajan,Prakash
US7992172-4,245,John P.,Comito
US5953029-4,391,Kenneth E.,Trueba
US7970554-2,65,Matthew,Dock
US8188808-3,357,Wayne H.,"Woods, Jr."
US6266075-1,476,David T.,Gale
US6195231-0,155,Steven R.,Sedlmayr
US6881507-0,477,Milos,Milacic
US6906077-0,478,Iok-hou,Pang
US5918453-0,479,George M.,Kent
US8184561-2,416,Yogesh,Swami
US7463619-1,480,Michael E.,Gilleland
US7050206-0,481,David M.,Payne
US7114934-1,265,Jack C.,Roberts
US7660307-3,482,Dan,Spohrer
US6627396-4,483,Jurgen G.,Schmidt
US8137853-4,484,Glenn W.,Skala
US8381525-2,485,Parag Prakash,Kulkarni
US7334094-0,375,Robert L.,Fair
US6227660-1,391,Kenneth E.,Trueba
US6493359-1,486,Scott A.,Applebaum
US8321650-1,487,Murthy,Kompella
US6865336-0,488,Carolynn Rae,Johnson
US8015350-4,330,Edwin Scott,Olds
US7870123-0,489,Bibhu Ranjan,Priyadarshi
US6527383-1,72,Eric A.,Merz
US7611537-6,175,Aurelien,Bruneau
US7173763-2,290,Xin,Luo
US6478924-5,490,Dennis S.,Grimard
US8345105-2,199,Neal J.,Manowitz
US7547174-2,254,Dale E.,Redford
US5147368-0,178,Alan W.,Brown
US7574551-1,16,Gregory M.,Nordstrom
US8298138-3,301,Kevin R,Strauss
US5899882-5,491,George K.,"Bonnoitt, Jr."
US7890936-1,492,Jason J.,Illg
US5932571-5,493,Larry D.,Bratton
US6571094-2,219,Neil A,Ostroff
US8126238-2,141,Saad Ahmed,Sirohey
US7718791-1,98,Tsu-shun,Lee
US7786623-0,494,Michael Scott,Farmer
US5825991-1,495,Michael A.,Wiegand
US7655168-1,496,Joseph D.,Brennan
US5485570-4,222,Robert J.,Manulik
US5001697-0,307,Robert J.,Torres
US7486627-0,399,Ying,Zhang
US8287691-1,497,David E.,Garlie
US6555749-0,498,Roger D.,Pyron
US6241769-1,499,Scott G.,Tromanhauser
US7370045-6,500,Shahram,Moatazedi
US7329860-3,501,Alexander,Triener
US5622219-0,237,Mark,Voss
US6609795-1,136,Charles L.,Bruzzone
US7802674-0,502,Patrick M.,McGuire
